epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,430.299,3.28615,3.42866,3.70263,0.00103,0.04167,0.00059,0.00019,3.56638,4.58766,4.28084,0.00104586,0.00104586,0.00104586
7,498.091,3.13309,3.3303,3.52581,0.67667,0.01894,0.00188,0.00052,3.61207,4.72097,4.12008,0.00120971,0.00120971,0.00120971
8,569.501,3.11616,3.23881,3.3777,0.00253,0.12896,0.01028,0.00202,3.36865,4.06216,3.9359,0.00132997,0.00132997,0.00132997
9,640.86,3.08853,3.161,3.2753,0.35134,0.0303,0.00806,0.00201,3.35548,3.89479,3.91662,0.00131582,0.00131582,0.00131582
10,708.849,3.00783,3.02424,3.14614,0.37931,0.04193,0.01973,0.00708,3.17368,3.54969,3.60806,0.00130168,0.00130168,0.00130168
11,775.762,2.91127,3.03765,3.04532,0.36276,0.10254,0.00951,0.00254,3.1525,4.35546,3.44037,0.00128753,0.00128753,0.00128753
12,843.248,2.95253,2.98544,2.98548,0.38806,0.10659,0.02453,0.00701,2.94314,4.11753,3.21071,0.00127338,0.00127338,0.00127338
13,910.032,2.83424,2.91855,2.91944,0.40029,0.09144,0.02395,0.00596,3.10361,5.60638,3.35171,0.00125923,0.00125923,0.00125923
14,977.169,2.78235,2.88612,2.903,0.37167,0.16728,0.02555,0.00573,2.97179,5.36623,3.2617,0.00124509,0.00124509,0.00124509
15,1047.61,2.80688,2.83677,2.84768,0.5265,0.15742,0.11339,0.03736,2.59005,3.93044,2.86519,0.00123094,0.00123094,0.00123094
16,1122.8,2.7144,2.74264,2.79517,0.46649,0.18023,0.11545,0.03717,2.52571,3.45633,2.71483,0.00121679,0.00121679,0.00121679
17,1193.19,2.6877,2.73286,2.76729,0.53994,0.16482,0.12254,0.04606,2.52947,3.30162,2.67243,0.00120265,0.00120265,0.00120265
18,1266.16,2.71458,2.68823,2.74443,0.49361,0.17222,0.10875,0.03531,2.57291,3.10913,2.82311,0.0011885,0.0011885,0.0011885
19,1335.51,2.64252,2.64924,2.68875,0.63383,0.14992,0.16376,0.05634,2.36595,2.73128,2.57335,0.00117435,0.00117435,0.00117435
20,1408.87,2.5617,2.55297,2.63305,0.60999,0.20337,0.19163,0.06155,2.46989,2.56097,2.61941,0.00116021,0.00116021,0.00116021
21,1482.24,2.58649,2.51179,2.6249,0.55565,0.18763,0.15806,0.06203,2.44786,2.79563,2.68523,0.00114606,0.00114606,0.00114606
